         245311425 function calls (244947111 primitive calls) in 213.903 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   115795    0.017    0.000    0.017    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numeric.py:1336(_moveaxis_dispatcher)
    20394    0.017    0.000    0.362    0.000 <__array_function__ internals>:2(unique)
      328    0.017    0.000    0.017    0.000 {built-in method builtins.compile}
      424    0.016    0.000    0.401    0.001 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\ticker.py:2172(_raw_ticks)
       30    0.016    0.001    0.016    0.001 {built-in method _ctypes.LoadLibrary}
     7464    0.016    0.000    0.118    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\lib\function_base.py:1628(extract)
    46318    0.016    0.000    0.016    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
     7175    0.015    0.000    0.024    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\font_manager.py:663(__hash__)
     1002    0.015    0.000    0.064    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\lines.py:667(recache)
     2548    0.015    0.000    0.020    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numerictypes.py:578(_can_coerce_all)
    13950    0.014    0.000    0.014    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     4091    0.014    0.000    0.069    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\artist.py:974(update)
     1291    0.014    0.000    0.122    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\lines.py:751(draw)
    91607    0.014    0.000    0.014    0.000 {function RcParams.__getitem__ at 0x0000026713631940}
      323    0.013    0.000    0.014    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    24861    0.013    0.000    0.016    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\cbook\__init__.py:2131(_check_in_list)
      900    0.013    0.000    0.216    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\text.py:670(draw)
     5076    0.012    0.000    0.032    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\transforms.py:727(__init__)
    14928    0.012    0.000    0.035    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\fromnumeric.py:1693(ravel)
    17439    0.012    0.000    0.020    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\transforms.py:1701(__init__)
     5487    0.012    0.000    0.030    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\shape_base.py:25(atleast_1d)
    11308    0.012    0.000    0.012    0.000 {method 'copy' of 'numpy.ndarray' objects}
4481/3131    0.012    0.000    0.040    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\transforms.py:2387(get_affine)
     2980    0.012    0.000    0.017    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\cbook\__init__.py:2096(_check_isinstance)
    26130    0.011    0.000    0.011    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\transforms.py:82(__init__)
      898    0.011    0.000    0.014    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\cbook\__init__.py:1663(normalize_kwargs)
     5788    0.011    0.000    0.014    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\transforms.py:163(set_children)
    89856    0.011    0.000    0.011    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\artist.py:804(get_animated)
     1715    0.011    0.000    0.011    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:210(<listcomp>)
       67    0.010    0.000    0.010    0.000 {built-in method nt.listdir}
     1715    0.010    0.000    8.419    0.005 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:195(mean_of_curves)
       26    0.010    0.000    0.011    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\backends\backend_agg.py:86(__init__)
      356    0.010    0.000    0.017    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\_lib\doccer.py:179(indentcount_lines)
8726/4447    0.010    0.000    0.012    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\transforms.py:136(_invalidate_internal)
      910    0.010    0.000    0.259    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
  513/203    0.010    0.000    0.025    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:493(_parse)
     1767    0.010    0.000    0.271    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\text.py:867(get_window_extent)
      323    0.010    0.000    0.010    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      303    0.010    0.000    1.315    0.004 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:234(<listcomp>)
      568    0.010    0.000    0.456    0.001 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\axis.py:56(__init__)
    50592    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
     8594    0.009    0.000    0.018    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\cbook\__init__.py:1956(_setattr_cm)
     7536    0.009    0.000    0.009    0.000 {built-in method numpy.core._multiarray_umath._insert}
    53782    0.009    0.000    0.009    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\fromnumeric.py:93(_take_dispatcher)
  3506/26    0.009    0.000    1.214    0.047 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\artist.py:30(draw_wrapper)
      404    0.009    0.000    0.260    0.001 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:304(<listcomp>)
     1499    0.009    0.000    0.018    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\transforms.py:669(translated)
      424    0.009    0.000    0.038    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\ticker.py:767(_set_format)
     5179    0.009    0.000    0.041    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\colors.py:157(to_rgba)
