DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,sales_price,purchase_price,Burr_c,Burr_k,salvage_price,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
9,True,0.719,0.5,1.5,0.5,27,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.37473387922868207,0.9395712633754018,inf,0,inf,0,inf,0,1.0,1
9,True,0.719,0.5,1.5,0.5,27,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.2067768155403564,0.9432048217041624,inf,0,inf,0,inf,0,1.0,1
9,True,0.719,0.5,1.5,0.5,27,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.12308619028010048,0.939986527184403,inf,0,inf,0,1.0,1,1.0,1
9,True,0.719,0.5,1.5,0.5,27,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.31544923128815266,0.8559744617052119,inf,0,inf,0,inf,0,0.843,1
10,True,0.944,1.25,1.5,0.5,21,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.9362278276728744,inf,0,inf,0,inf,0,inf,0
10,True,0.944,1.25,1.5,0.5,21,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.9302065024423566,inf,0,inf,0,inf,0,inf,0
10,True,0.944,1.25,1.5,0.5,21,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.9316599257738609,inf,0,inf,0,inf,0,inf,0
10,True,0.944,1.25,1.5,0.5,21,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.9309332141081088,inf,0,inf,0,inf,0,inf,0
10,True,0.944,1.25,1.5,0.5,21,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.9373698031476276,inf,0,inf,0,inf,0,inf,0
11,True,0.888,1.06,1.5,0.5,94,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,1.0,0.906,inf,0,inf,0,inf,0,inf,0
11,True,0.888,1.06,1.5,0.5,94,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,1.0,0.906,inf,0,inf,0,inf,0,inf,0
11,True,0.888,1.06,1.5,0.5,94,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,1.0,0.906,inf,0,inf,0,inf,0,inf,0
11,True,0.888,1.06,1.5,0.5,94,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,1.0,0.906,inf,0,inf,0,inf,0,inf,0
11,True,0.888,1.06,1.5,0.5,94,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,1.0,0.906,inf,0,inf,0,inf,0,inf,0
12,True,0.831,0.88,1.5,0.5,72,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.928,inf,0,inf,0,inf,0,inf,0
12,True,0.831,0.88,1.5,0.5,72,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.928,inf,0,inf,0,inf,0,inf,0
12,True,0.831,0.88,1.5,0.5,72,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.928,inf,0,inf,0,inf,0,inf,0
12,True,0.831,0.88,1.5,0.5,72,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.928,inf,0,inf,0,inf,0,inf,0
12,True,0.831,0.88,1.5,0.5,72,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.928,inf,0,inf,0,inf,0,inf,0
13,True,0.325,0.56,1.5,0.5,61,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.9390000000000001,inf,0,inf,0,inf,0,inf,0
13,True,0.325,0.56,1.5,0.5,61,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.9390000000000001,inf,0,inf,0,inf,0,inf,0
13,True,0.325,0.56,1.5,0.5,61,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.9390000000000001,inf,0,inf,0,inf,0,inf,0
13,True,0.325,0.56,1.5,0.5,61,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.9390000000000001,inf,0,inf,0,inf,0,inf,0
13,True,0.325,0.56,1.5,0.5,61,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.9390000000000001,inf,0,inf,0,inf,0,inf,0
14,True,0.1,1.19,1.5,0.5,66,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.9339999999999999,inf,0,inf,0,inf,0,inf,0
14,True,0.1,1.19,1.5,0.5,66,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.9339999999999999,inf,0,inf,0,inf,0,inf,0
14,True,0.1,1.19,1.5,0.5,66,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.9339999999999999,inf,0,inf,0,inf,0,inf,0
14,True,0.1,1.19,1.5,0.5,66,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.9339999999999999,inf,0,inf,0,inf,0,inf,0
