solver_dp,problem_dp,Average Optimality Gap,gamma_1,gamma_2,eta_1,eta_2
7.0,19.0,0.10379925014527736,2.1,0.8,0.4,0.9
8.0,19.0,-0.03858269841186576,2.0,0.5,0.3,0.7
9.0,19.0,0.06333987404352269,2.4,0.1,0.2,0.8
10.0,19.0,0.2958777755398635,2.9,0.7,0.2,0.7
11.0,19.0,-0.0037670525801277812,2.8,0.6,0.5,0.8
12.0,19.0,0.11560605970708193,2.6,0.4,0.4,0.5
13.0,19.0,-0.033148575195050344,1.5,0.2,0.3,0.9
14.0,19.0,-0.01095592031353484,1.0,0.7,0.4,0.6
15.0,19.0,0.32994595782562885,1.8,0.8,0.1,0.8
16.0,19.0,0.12057892303233113,1.9,0.2,0.2,0.5
0.0,20.0,-0.03484353794433311,1.5,0.5,0.1,0.8
1.0,20.0,-0.016310763288413518,1.1,0.3,0.5,0.7
2.0,20.0,-0.0393014027336279,1.3,0.5,0.1,0.6
3.0,20.0,-0.036330284225169276,1.4,0.6,0.2,0.9
4.0,20.0,0.30065012684043946,2.5,0.9,0.3,0.6
5.0,20.0,-0.031338432086379646,3.0,0.4,0.3,0.8
6.0,20.0,-0.03572969759178221,2.3,0.3,0.5,0.6
7.0,20.0,0.25969860076060336,2.1,0.8,0.4,0.9
8.0,20.0,-0.037110046957085,2.0,0.5,0.3,0.7
9.0,20.0,0.018835465987460238,2.4,0.1,0.2,0.8
10.0,20.0,0.35370235323961957,2.9,0.7,0.2,0.7
11.0,20.0,0.16598012941807344,2.8,0.6,0.5,0.8
12.0,20.0,-0.02146740590447832,2.6,0.4,0.4,0.5
13.0,20.0,-0.041347478040370124,1.5,0.2,0.3,0.9
14.0,20.0,-0.013105578933282961,1.0,0.7,0.4,0.6
15.0,20.0,0.05469792849605062,1.8,0.8,0.1,0.8
16.0,20.0,0.15380965224358767,1.9,0.2,0.2,0.5
0.0,21.0,-0.013103075858361509,1.5,0.5,0.1,0.8
1.0,21.0,0.005558489117467519,1.1,0.3,0.5,0.7
2.0,21.0,-0.014082155818420488,1.3,0.5,0.1,0.6
3.0,21.0,-0.01259672144130348,1.4,0.6,0.2,0.9
4.0,21.0,0.6491771991798144,2.5,0.9,0.3,0.6
5.0,21.0,0.019902256015117088,3.0,0.4,0.3,0.8
6.0,21.0,-0.01216179827877559,2.3,0.3,0.5,0.6
7.0,21.0,0.043963285951485506,2.1,0.8,0.4,0.9
8.0,21.0,-0.006344539380868189,2.0,0.5,0.3,0.7
9.0,21.0,-0.006822046346112111,2.4,0.1,0.2,0.8
10.0,21.0,-0.004298645032703409,2.9,0.7,0.2,0.7
11.0,21.0,0.015958615338137562,2.8,0.6,0.5,0.8
12.0,21.0,-0.00889683284719243,2.6,0.4,0.4,0.5
13.0,21.0,-0.00549083824245953,1.5,0.2,0.3,0.9
14.0,21.0,0.045458301496876914,1.0,0.7,0.4,0.6
15.0,21.0,0.14130897955115035,1.8,0.8,0.1,0.8
16.0,21.0,-0.01402755348437017,1.9,0.2,0.2,0.5
0.0,22.0,-0.016604287092957897,1.5,0.5,0.1,0.8
1.0,22.0,-0.00927697306622024,1.1,0.3,0.5,0.7
2.0,22.0,-0.01694879889476367,1.3,0.5,0.1,0.6
3.0,22.0,-0.016559334771506052,1.4,0.6,0.2,0.9
4.0,22.0,0.6640381154123907,2.5,0.9,0.3,0.6
5.0,22.0,0.0030816432715844284,3.0,0.4,0.3,0.8
6.0,22.0,-0.017561723159544913,2.3,0.3,0.5,0.6
7.0,22.0,0.07543326927719318,2.1,0.8,0.4,0.9
8.0,22.0,-0.01407431830967983,2.0,0.5,0.3,0.7
9.0,22.0,-0.013496370684006317,2.4,0.1,0.2,0.8
10.0,22.0,0.13867794400309194,2.9,0.7,0.2,0.7
11.0,22.0,0.005545105180911099,2.8,0.6,0.5,0.8
12.0,22.0,0.10392142545408974,2.6,0.4,0.4,0.5
13.0,22.0,-0.011919801817953851,1.5,0.2,0.3,0.9
14.0,22.0,0.03694587812811627,1.0,0.7,0.4,0.6
15.0,22.0,0.00616688738435124,1.8,0.8,0.1,0.8
16.0,22.0,-0.013566252095976419,1.9,0.2,0.2,0.5
0.0,23.0,-0.0304975097686472,1.5,0.5,0.1,0.8
1.0,23.0,-0.03287163947061773,1.1,0.3,0.5,0.7
2.0,23.0,-0.02940970337418719,1.3,0.5,0.1,0.6
3.0,23.0,-0.033200169423359335,1.4,0.6,0.2,0.9
4.0,23.0,0.8263676144204142,2.5,0.9,0.3,0.6
5.0,23.0,-0.029545172660768178,3.0,0.4,0.3,0.8
6.0,23.0,-0.026018510734415946,2.3,0.3,0.5,0.6
7.0,23.0,0.02357002652284306,2.1,0.8,0.4,0.9
8.0,23.0,0.02749830599862218,2.0,0.5,0.3,0.7
9.0,23.0,0.44398938528543014,2.4,0.1,0.2,0.8
10.0,23.0,0.3342504800579393,2.9,0.7,0.2,0.7
11.0,23.0,0.01865170836211831,2.8,0.6,0.5,0.8
12.0,23.0,0.025759645054120085,2.6,0.4,0.4,0.5
13.0,23.0,-0.03258061966261517,1.5,0.2,0.3,0.9
14.0,23.0,-6.53760086665095e-05,1.0,0.7,0.4,0.6
15.0,23.0,0.103928913999388,1.8,0.8,0.1,0.8
16.0,23.0,0.012575331617645832,1.9,0.2,0.2,0.5
0.0,24.0,-0.032845664866617316,1.5,0.5,0.1,0.8
1.0,24.0,-0.03353745385627317,1.1,0.3,0.5,0.7
2.0,24.0,-0.03341204611520791,1.3,0.5,0.1,0.6
